Dátum a èas;Hradza Berg ;Do Slovenska ;Do Rakuska
1.3.2019 0:00;0;0;0
1.3.2019 1:00;0;0;0
1.3.2019 2:00;0;0;0
1.3.2019 3:00;0;0;0
1.3.2019 4:00;0;0;0
1.3.2019 5:00;0;0;0
1.3.2019 6:00;0;0;0
1.3.2019 7:00;3;2;1
1.3.2019 8:00;1;1;0
1.3.2019 9:00;4;3;1
1.3.2019 10:00;5;2;3
1.3.2019 11:00;8;3;5
1.3.2019 12:00;5;2;3
1.3.2019 13:00;14;8;6
1.3.2019 14:00;13;3;10
1.3.2019 15:00;14;3;11
1.3.2019 16:00;11;11;0
1.3.2019 17:00;5;4;1
1.3.2019 18:00;1;1;0
1.3.2019 19:00;1;0;1
1.3.2019 20:00;0;0;0
1.3.2019 21:00;0;0;0
1.3.2019 22:00;0;0;0
1.3.2019 23:00;0;0;0
2.3.2019 0:00;0;0;0
2.3.2019 1:00;1;0;1
2.3.2019 2:00;0;0;0
2.3.2019 3:00;0;0;0
2.3.2019 4:00;0;0;0
2.3.2019 5:00;0;0;0
2.3.2019 6:00;0;0;0
2.3.2019 7:00;3;2;1
2.3.2019 8:00;0;0;0
2.3.2019 9:00;8;2;6
2.3.2019 10:00;17;7;10
2.3.2019 11:00;21;10;11
2.3.2019 12:00;9;5;4
2.3.2019 13:00;17;7;10
2.3.2019 14:00;13;6;7
2.3.2019 15:00;14;9;5
2.3.2019 16:00;17;11;6
2.3.2019 17:00;4;3;1
2.3.2019 18:00;0;0;0
2.3.2019 19:00;0;0;0
2.3.2019 20:00;0;0;0
2.3.2019 21:00;0;0;0
2.3.2019 22:00;0;0;0
2.3.2019 23:00;0;0;0
3.3.2019 0:00;0;0;0
3.3.2019 1:00;0;0;0
3.3.2019 2:00;0;0;0
3.3.2019 3:00;0;0;0
3.3.2019 4:00;0;0;0
3.3.2019 5:00;0;0;0
3.3.2019 6:00;0;0;0
3.3.2019 7:00;3;0;3
3.3.2019 8:00;3;0;3
3.3.2019 9:00;6;3;3
3.3.2019 10:00;18;8;10
3.3.2019 11:00;37;4;33
3.3.2019 12:00;51;12;39
3.3.2019 13:00;60;24;36
3.3.2019 14:00;52;23;29
3.3.2019 15:00;83;48;35
3.3.2019 16:00;38;26;12
3.3.2019 17:00;27;21;6
3.3.2019 18:00;10;10;0
3.3.2019 19:00;3;2;1
3.3.2019 20:00;1;1;0
3.3.2019 21:00;0;0;0
3.3.2019 22:00;0;0;0
3.3.2019 23:00;0;0;0
4.3.2019 0:00;0;0;0
4.3.2019 1:00;0;0;0
4.3.2019 2:00;0;0;0
4.3.2019 3:00;0;0;0
4.3.2019 4:00;0;0;0
4.3.2019 5:00;1;1;0
4.3.2019 6:00;1;0;1
4.3.2019 7:00;5;2;3
4.3.2019 8:00;5;4;1
4.3.2019 9:00;5;2;3
4.3.2019 10:00;17;5;12
4.3.2019 11:00;10;5;5
4.3.2019 12:00;15;11;4
4.3.2019 13:00;18;10;8
4.3.2019 14:00;28;9;19
4.3.2019 15:00;23;7;16
4.3.2019 16:00;22;8;14
4.3.2019 17:00;28;15;13
4.3.2019 18:00;6;4;2
4.3.2019 19:00;0;0;0
4.3.2019 20:00;1;1;0
4.3.2019 21:00;0;0;0
4.3.2019 22:00;1;0;1
4.3.2019 23:00;0;0;0
5.3.2019 0:00;0;0;0
5.3.2019 1:00;0;0;0
5.3.2019 2:00;0;0;0
5.3.2019 3:00;0;0;0
5.3.2019 4:00;0;0;0
5.3.2019 5:00;0;0;0
5.3.2019 6:00;2;0;2
5.3.2019 7:00;15;13;2
5.3.2019 8:00;9;4;5
5.3.2019 9:00;3;1;2
5.3.2019 10:00;13;4;9
5.3.2019 11:00;9;6;3
5.3.2019 12:00;3;1;2
5.3.2019 13:00;4;2;2
5.3.2019 14:00;7;3;4
5.3.2019 15:00;12;4;8
5.3.2019 16:00;18;6;12
5.3.2019 17:00;20;10;10
5.3.2019 18:00;8;6;2
5.3.2019 19:00;8;6;2
5.3.2019 20:00;2;2;0
5.3.2019 21:00;0;0;0
5.3.2019 22:00;0;0;0
5.3.2019 23:00;0;0;0
6.3.2019 0:00;0;0;0
6.3.2019 1:00;0;0;0
6.3.2019 2:00;0;0;0
6.3.2019 3:00;0;0;0
6.3.2019 4:00;0;0;0
6.3.2019 5:00;1;1;0
6.3.2019 6:00;0;0;0
6.3.2019 7:00;1;0;1
6.3.2019 8:00;9;3;6
6.3.2019 9:00;8;5;3
6.3.2019 10:00;24;6;18
6.3.2019 11:00;15;3;12
6.3.2019 12:00;23;15;8
6.3.2019 13:00;19;8;11
6.3.2019 14:00;24;7;17
6.3.2019 15:00;25;8;17
6.3.2019 16:00;31;16;15
6.3.2019 17:00;26;17;9
6.3.2019 18:00;3;3;0
6.3.2019 19:00;0;0;0
6.3.2019 20:00;3;2;1
6.3.2019 21:00;1;1;0
6.3.2019 22:00;0;0;0
6.3.2019 23:00;0;0;0
7.3.2019 0:00;0;0;0
7.3.2019 1:00;0;0;0
7.3.2019 2:00;0;0;0
7.3.2019 3:00;0;0;0
7.3.2019 4:00;0;0;0
7.3.2019 5:00;1;0;1
7.3.2019 6:00;2;0;2
7.3.2019 7:00;11;10;1
7.3.2019 8:00;9;5;4
7.3.2019 9:00;8;6;2
7.3.2019 10:00;8;2;6
7.3.2019 11:00;9;5;4
7.3.2019 12:00;10;4;6
7.3.2019 13:00;15;5;10
7.3.2019 14:00;18;7;11
7.3.2019 15:00;28;12;16
7.3.2019 16:00;21;11;10
7.3.2019 17:00;18;10;8
7.3.2019 18:00;10;3;7
7.3.2019 19:00;1;0;1
7.3.2019 20:00;2;2;0
7.3.2019 21:00;0;0;0
7.3.2019 22:00;0;0;0
7.3.2019 23:00;0;0;0
8.3.2019 0:00;0;0;0
8.3.2019 1:00;0;0;0
8.3.2019 2:00;0;0;0
8.3.2019 3:00;0;0;0
8.3.2019 4:00;0;0;0
8.3.2019 5:00;0;0;0
8.3.2019 6:00;5;1;4
8.3.2019 7:00;10;7;3
8.3.2019 8:00;9;4;5
8.3.2019 9:00;5;1;4
8.3.2019 10:00;13;3;10
8.3.2019 11:00;10;4;6
8.3.2019 12:00;6;3;3
8.3.2019 13:00;13;10;3
8.3.2019 14:00;18;9;9
8.3.2019 15:00;22;9;13
8.3.2019 16:00;25;13;12
8.3.2019 17:00;30;15;15
8.3.2019 18:00;12;9;3
8.3.2019 19:00;13;12;1
8.3.2019 20:00;2;2;0
8.3.2019 21:00;0;0;0
8.3.2019 22:00;0;0;0
8.3.2019 23:00;0;0;0
9.3.2019 0:00;0;0;0
9.3.2019 1:00;0;0;0
9.3.2019 2:00;0;0;0
9.3.2019 3:00;0;0;0
9.3.2019 4:00;0;0;0
9.3.2019 5:00;0;0;0
9.3.2019 6:00;1;0;1
9.3.2019 7:00;5;1;4
9.3.2019 8:00;7;2;5
9.3.2019 9:00;46;11;35
9.3.2019 10:00;35;9;26
9.3.2019 11:00;64;25;39
9.3.2019 12:00;33;15;18
9.3.2019 13:00;46;30;16
9.3.2019 14:00;38;29;9
9.3.2019 15:00;35;19;16
9.3.2019 16:00;35;20;15
9.3.2019 17:00;25;18;7
9.3.2019 18:00;19;15;4
9.3.2019 19:00;3;3;0
9.3.2019 20:00;0;0;0
9.3.2019 21:00;0;0;0
9.3.2019 22:00;0;0;0
9.3.2019 23:00;0;0;0
10.3.2019 0:00;0;0;0
10.3.2019 1:00;0;0;0
10.3.2019 2:00;0;0;0
10.3.2019 3:00;0;0;0
10.3.2019 4:00;0;0;0
10.3.2019 5:00;0;0;0
10.3.2019 6:00;2;0;2
10.3.2019 7:00;2;1;1
10.3.2019 8:00;15;6;9
10.3.2019 9:00;20;7;13
10.3.2019 10:00;21;16;5
10.3.2019 11:00;10;4;6
10.3.2019 12:00;2;2;0
10.3.2019 13:00;3;1;2
10.3.2019 14:00;0;0;0
10.3.2019 15:00;3;0;3
10.3.2019 16:00;15;7;8
10.3.2019 17:00;6;4;2
10.3.2019 18:00;7;4;3
10.3.2019 19:00;1;1;0
10.3.2019 20:00;0;0;0
10.3.2019 21:00;0;0;0
10.3.2019 22:00;0;0;0
10.3.2019 23:00;0;0;0
11.3.2019 0:00;0;0;0
11.3.2019 1:00;0;0;0
11.3.2019 2:00;0;0;0
11.3.2019 3:00;0;0;0
11.3.2019 4:00;0;0;0
11.3.2019 5:00;0;0;0
11.3.2019 6:00;1;0;1
11.3.2019 7:00;3;2;1
11.3.2019 8:00;4;2;2
11.3.2019 9:00;4;0;4
11.3.2019 10:00;6;2;4
11.3.2019 11:00;3;2;1
11.3.2019 12:00;11;7;4
11.3.2019 13:00;3;3;0
11.3.2019 14:00;2;0;2
11.3.2019 15:00;3;1;2
11.3.2019 16:00;6;0;6
11.3.2019 17:00;5;4;1
11.3.2019 18:00;4;1;3
11.3.2019 19:00;2;1;1
11.3.2019 20:00;1;1;0
11.3.2019 21:00;0;0;0
11.3.2019 22:00;0;0;0
11.3.2019 23:00;0;0;0
12.3.2019 0:00;0;0;0
12.3.2019 1:00;0;0;0
12.3.2019 2:00;0;0;0
12.3.2019 3:00;0;0;0
12.3.2019 4:00;0;0;0
12.3.2019 5:00;0;0;0
12.3.2019 6:00;2;1;1
12.3.2019 7:00;3;0;3
12.3.2019 8:00;5;4;1
12.3.2019 9:00;5;1;4
12.3.2019 10:00;9;2;7
12.3.2019 11:00;6;2;4
12.3.2019 12:00;10;4;6
12.3.2019 13:00;7;6;1
12.3.2019 14:00;12;4;8
12.3.2019 15:00;9;3;6
12.3.2019 16:00;27;10;17
12.3.2019 17:00;22;13;9
12.3.2019 18:00;13;10;3
12.3.2019 19:00;3;3;0
12.3.2019 20:00;0;0;0
12.3.2019 21:00;1;0;1
12.3.2019 22:00;1;0;1
12.3.2019 23:00;0;0;0
13.3.2019 0:00;0;0;0
13.3.2019 1:00;0;0;0
13.3.2019 2:00;0;0;0
13.3.2019 3:00;0;0;0
13.3.2019 4:00;0;0;0
13.3.2019 5:00;1;1;0
13.3.2019 6:00;0;0;0
13.3.2019 7:00;2;1;1
13.3.2019 8:00;6;3;3
13.3.2019 9:00;4;1;3
13.3.2019 10:00;3;1;2
13.3.2019 11:00;4;4;0
13.3.2019 12:00;4;2;2
13.3.2019 13:00;3;1;2
13.3.2019 14:00;6;1;5
13.3.2019 15:00;2;0;2
13.3.2019 16:00;12;7;5
13.3.2019 17:00;15;7;8
13.3.2019 18:00;2;2;0
13.3.2019 19:00;3;2;1
13.3.2019 20:00;0;0;0
13.3.2019 21:00;0;0;0
13.3.2019 22:00;0;0;0
13.3.2019 23:00;0;0;0
14.3.2019 0:00;0;0;0
14.3.2019 1:00;0;0;0
14.3.2019 2:00;0;0;0
14.3.2019 3:00;0;0;0
14.3.2019 4:00;0;0;0
14.3.2019 5:00;0;0;0
14.3.2019 6:00;2;1;1
14.3.2019 7:00;6;3;3
14.3.2019 8:00;2;1;1
14.3.2019 9:00;4;2;2
14.3.2019 10:00;5;3;2
14.3.2019 11:00;14;4;10
14.3.2019 12:00;8;5;3
14.3.2019 13:00;5;3;2
14.3.2019 14:00;6;4;2
14.3.2019 15:00;10;5;5
14.3.2019 16:00;31;11;20
14.3.2019 17:00;26;19;7
14.3.2019 18:00;4;3;1
14.3.2019 19:00;0;0;0
14.3.2019 20:00;0;0;0
14.3.2019 21:00;0;0;0
14.3.2019 22:00;0;0;0
14.3.2019 23:00;0;0;0
15.3.2019 0:00;0;0;0
15.3.2019 1:00;0;0;0
15.3.2019 2:00;0;0;0
15.3.2019 3:00;0;0;0
15.3.2019 4:00;0;0;0
15.3.2019 5:00;0;0;0
15.3.2019 6:00;1;1;0
15.3.2019 7:00;4;1;3
15.3.2019 8:00;5;3;2
15.3.2019 9:00;8;4;4
15.3.2019 10:00;8;4;4
15.3.2019 11:00;12;5;7
15.3.2019 12:00;8;5;3
15.3.2019 13:00;11;8;3
15.3.2019 14:00;7;5;2
15.3.2019 15:00;9;5;4
15.3.2019 16:00;11;6;5
15.3.2019 17:00;8;5;3
15.3.2019 18:00;2;2;0
15.3.2019 19:00;0;0;0
15.3.2019 20:00;0;0;0
15.3.2019 21:00;0;0;0
15.3.2019 22:00;0;0;0
15.3.2019 23:00;0;0;0
16.3.2019 0:00;1;0;1
16.3.2019 1:00;0;0;0
16.3.2019 2:00;0;0;0
16.3.2019 3:00;0;0;0
16.3.2019 4:00;0;0;0
16.3.2019 5:00;0;0;0
16.3.2019 6:00;1;0;1
16.3.2019 7:00;0;0;0
16.3.2019 8:00;0;0;0
16.3.2019 9:00;3;1;2
16.3.2019 10:00;0;0;0
16.3.2019 11:00;5;1;4
16.3.2019 12:00;5;2;3
