Dátum a èas;Hradza Berg ;Do Slovenska ;Do Rakuska
1.12.2016 0:00;0;0;0
1.12.2016 1:00;0;0;0
1.12.2016 2:00;0;0;0
1.12.2016 3:00;0;0;0
1.12.2016 4:00;0;0;0
1.12.2016 5:00;0;0;0
1.12.2016 6:00;0;0;0
1.12.2016 7:00;1;1;0
1.12.2016 8:00;0;0;0
1.12.2016 9:00;0;0;0
1.12.2016 10:00;1;1;0
1.12.2016 11:00;3;1;2
1.12.2016 12:00;2;0;2
1.12.2016 13:00;2;1;1
1.12.2016 14:00;0;0;0
1.12.2016 15:00;0;0;0
1.12.2016 16:00;0;0;0
1.12.2016 17:00;1;0;1
1.12.2016 18:00;1;1;0
1.12.2016 19:00;1;0;1
1.12.2016 20:00;0;0;0
1.12.2016 21:00;0;0;0
1.12.2016 22:00;0;0;0
1.12.2016 23:00;0;0;0
2.12.2016 0:00;0;0;0
2.12.2016 1:00;0;0;0
2.12.2016 2:00;0;0;0
2.12.2016 3:00;0;0;0
2.12.2016 4:00;0;0;0
2.12.2016 5:00;0;0;0
2.12.2016 6:00;0;0;0
2.12.2016 7:00;0;0;0
2.12.2016 8:00;0;0;0
2.12.2016 9:00;1;0;1
2.12.2016 10:00;0;0;0
2.12.2016 11:00;1;0;1
2.12.2016 12:00;0;0;0
2.12.2016 13:00;0;0;0
2.12.2016 14:00;3;1;2
2.12.2016 15:00;4;2;2
2.12.2016 16:00;2;2;0
2.12.2016 17:00;0;0;0
2.12.2016 18:00;5;2;3
2.12.2016 19:00;0;0;0
2.12.2016 20:00;0;0;0
2.12.2016 21:00;0;0;0
2.12.2016 22:00;0;0;0
2.12.2016 23:00;0;0;0
3.12.2016 0:00;1;1;0
3.12.2016 1:00;0;0;0
3.12.2016 2:00;0;0;0
3.12.2016 3:00;0;0;0
3.12.2016 4:00;0;0;0
3.12.2016 5:00;0;0;0
3.12.2016 6:00;0;0;0
3.12.2016 7:00;0;0;0
3.12.2016 8:00;2;0;2
3.12.2016 9:00;4;3;1
3.12.2016 10:00;13;2;11
3.12.2016 11:00;11;0;11
3.12.2016 12:00;15;9;6
3.12.2016 13:00;25;7;18
3.12.2016 14:00;25;17;8
3.12.2016 15:00;23;15;8
3.12.2016 16:00;11;7;4
3.12.2016 17:00;3;2;1
3.12.2016 18:00;0;0;0
3.12.2016 19:00;0;0;0
3.12.2016 20:00;0;0;0
3.12.2016 21:00;0;0;0
3.12.2016 22:00;0;0;0
3.12.2016 23:00;0;0;0
4.12.2016 0:00;0;0;0
4.12.2016 1:00;0;0;0
4.12.2016 2:00;0;0;0
4.12.2016 3:00;0;0;0
4.12.2016 4:00;0;0;0
4.12.2016 5:00;0;0;0
4.12.2016 6:00;1;1;0
4.12.2016 7:00;0;0;0
4.12.2016 8:00;1;0;1
4.12.2016 9:00;1;1;0
4.12.2016 10:00;10;0;10
4.12.2016 11:00;24;9;15
4.12.2016 12:00;19;13;6
4.12.2016 13:00;21;11;10
4.12.2016 14:00;17;7;10
4.12.2016 15:00;16;13;3
4.12.2016 16:00;6;6;0
4.12.2016 17:00;1;0;1
4.12.2016 18:00;1;0;1
4.12.2016 19:00;0;0;0
4.12.2016 20:00;0;0;0
4.12.2016 21:00;0;0;0
4.12.2016 22:00;0;0;0
4.12.2016 23:00;0;0;0
5.12.2016 0:00;0;0;0
5.12.2016 1:00;0;0;0
5.12.2016 2:00;0;0;0
5.12.2016 3:00;0;0;0
5.12.2016 4:00;0;0;0
5.12.2016 5:00;1;1;0
5.12.2016 6:00;0;0;0
5.12.2016 7:00;0;0;0
5.12.2016 8:00;3;3;0
5.12.2016 9:00;0;0;0
5.12.2016 10:00;0;0;0
5.12.2016 11:00;3;1;2
5.12.2016 12:00;3;0;3
5.12.2016 13:00;2;0;2
5.12.2016 14:00;5;1;4
5.12.2016 15:00;7;6;1
5.12.2016 16:00;2;2;0
5.12.2016 17:00;7;2;5
5.12.2016 18:00;2;2;0
5.12.2016 19:00;1;0;1
5.12.2016 20:00;2;1;1
5.12.2016 21:00;0;0;0
5.12.2016 22:00;0;0;0
5.12.2016 23:00;0;0;0
6.12.2016 0:00;0;0;0
6.12.2016 1:00;0;0;0
6.12.2016 2:00;0;0;0
6.12.2016 3:00;0;0;0
6.12.2016 4:00;0;0;0
6.12.2016 5:00;1;1;0
6.12.2016 6:00;0;0;0
6.12.2016 7:00;0;0;0
6.12.2016 8:00;4;1;3
6.12.2016 9:00;2;2;0
6.12.2016 10:00;2;1;1
6.12.2016 11:00;3;0;3
6.12.2016 12:00;5;3;2
6.12.2016 13:00;7;5;2
6.12.2016 14:00;2;2;0
6.12.2016 15:00;4;3;1
6.12.2016 16:00;4;3;1
6.12.2016 17:00;0;0;0
6.12.2016 18:00;3;2;1
6.12.2016 19:00;0;0;0
6.12.2016 20:00;1;0;1
6.12.2016 21:00;0;0;0
6.12.2016 22:00;0;0;0
6.12.2016 23:00;0;0;0
7.12.2016 0:00;0;0;0
7.12.2016 1:00;0;0;0
7.12.2016 2:00;0;0;0
7.12.2016 3:00;0;0;0
7.12.2016 4:00;0;0;0
7.12.2016 5:00;2;2;0
7.12.2016 6:00;2;1;1
7.12.2016 7:00;0;0;0
7.12.2016 8:00;1;1;0
7.12.2016 9:00;1;0;1
7.12.2016 10:00;2;1;1
7.12.2016 11:00;5;2;3
7.12.2016 12:00;2;1;1
7.12.2016 13:00;5;2;3
7.12.2016 14:00;6;2;4
7.12.2016 15:00;6;4;2
7.12.2016 16:00;2;1;1
7.12.2016 17:00;2;0;2
7.12.2016 18:00;0;0;0
7.12.2016 19:00;1;1;0
7.12.2016 20:00;0;0;0
7.12.2016 21:00;0;0;0
7.12.2016 22:00;0;0;0
7.12.2016 23:00;0;0;0
8.12.2016 0:00;0;0;0
8.12.2016 1:00;0;0;0
8.12.2016 2:00;0;0;0
8.12.2016 3:00;0;0;0
8.12.2016 4:00;0;0;0
8.12.2016 5:00;1;1;0
8.12.2016 6:00;2;1;1
8.12.2016 7:00;0;0;0
8.12.2016 8:00;1;1;0
8.12.2016 9:00;2;0;2
8.12.2016 10:00;2;2;0
8.12.2016 11:00;4;3;1
8.12.2016 12:00;6;3;3
8.12.2016 13:00;0;0;0
8.12.2016 14:00;3;1;2
8.12.2016 15:00;1;0;1
8.12.2016 16:00;4;0;4
8.12.2016 17:00;4;3;1
8.12.2016 18:00;2;1;1
8.12.2016 19:00;2;1;1
8.12.2016 20:00;0;0;0
8.12.2016 21:00;0;0;0
8.12.2016 22:00;0;0;0
8.12.2016 23:00;0;0;0
9.12.2016 0:00;0;0;0
9.12.2016 1:00;0;0;0
9.12.2016 2:00;0;0;0
9.12.2016 3:00;0;0;0
9.12.2016 4:00;0;0;0
9.12.2016 5:00;0;0;0
9.12.2016 6:00;0;0;0
9.12.2016 7:00;0;0;0
9.12.2016 8:00;2;0;2
9.12.2016 9:00;0;0;0
9.12.2016 10:00;1;1;0
9.12.2016 11:00;0;0;0
9.12.2016 12:00;7;1;6
9.12.2016 13:00;2;0;2
9.12.2016 14:00;6;5;1
9.12.2016 15:00;8;4;4
9.12.2016 16:00;5;2;3
9.12.2016 17:00;1;1;0
9.12.2016 18:00;4;2;2
9.12.2016 19:00;2;2;0
9.12.2016 20:00;0;0;0
9.12.2016 21:00;0;0;0
9.12.2016 22:00;0;0;0
9.12.2016 23:00;0;0;0
10.12.2016 0:00;2;0;2
10.12.2016 1:00;0;0;0
10.12.2016 2:00;0;0;0
10.12.2016 3:00;0;0;0
10.12.2016 4:00;0;0;0
10.12.2016 5:00;0;0;0
10.12.2016 6:00;0;0;0
10.12.2016 7:00;0;0;0
10.12.2016 8:00;1;1;0
10.12.2016 9:00;6;2;4
10.12.2016 10:00;14;4;10
10.12.2016 11:00;32;6;26
10.12.2016 12:00;55;17;38
10.12.2016 13:00;49;23;26
10.12.2016 14:00;51;32;19
10.12.2016 15:00;54;38;16
10.12.2016 16:00;16;13;3
10.12.2016 17:00;3;3;0
10.12.2016 18:00;1;1;0
10.12.2016 19:00;0;0;0
10.12.2016 20:00;1;0;1
10.12.2016 21:00;0;0;0
10.12.2016 22:00;0;0;0
10.12.2016 23:00;0;0;0
11.12.2016 0:00;0;0;0
11.12.2016 1:00;0;0;0
11.12.2016 2:00;0;0;0
11.12.2016 3:00;0;0;0
11.12.2016 4:00;0;0;0
11.12.2016 5:00;0;0;0
11.12.2016 6:00;0;0;0
11.12.2016 7:00;2;0;2
11.12.2016 8:00;4;0;4
11.12.2016 9:00;17;7;10
11.12.2016 10:00;27;5;22
11.12.2016 11:00;29;12;17
11.12.2016 12:00;25;13;12
11.12.2016 13:00;13;10;3
11.12.2016 14:00;18;12;6
11.12.2016 15:00;7;4;3
11.12.2016 16:00;7;4;3
11.12.2016 17:00;1;1;0
11.12.2016 18:00;0;0;0
11.12.2016 19:00;0;0;0
11.12.2016 20:00;0;0;0
11.12.2016 21:00;1;0;1
11.12.2016 22:00;0;0;0
11.12.2016 23:00;0;0;0
