Dátum;Èas;Hradza Berg ;Do Slovenska ;Do Rakuska
1.8.2016;0:00;0;0;0
1.8.2016;1:00;0;0;0
1.8.2016;2:00;0;0;0
1.8.2016;3:00;0;0;0
1.8.2016;4:00;0;0;0
1.8.2016;5:00;0;0;0
1.8.2016;6:00;2;2;0
1.8.2016;7:00;10;4;6
1.8.2016;8:00;8;3;5
1.8.2016;9:00;10;4;6
1.8.2016;10:00;28;18;10
1.8.2016;11:00;16;10;6
1.8.2016;12:00;46;35;11
1.8.2016;13:00;55;46;9
1.8.2016;14:00;87;70;17
1.8.2016;15:00;49;32;17
1.8.2016;16:00;69;37;32
1.8.2016;17:00;67;39;28
1.8.2016;18:00;79;36;43
1.8.2016;19:00;62;38;24
1.8.2016;20:00;43;31;12
1.8.2016;21:00;1;1;0
1.8.2016;22:00;3;2;1
1.8.2016;23:00;1;1;0
2.8.2016;0:00;0;0;0
2.8.2016;1:00;0;0;0
2.8.2016;2:00;0;0;0
2.8.2016;3:00;0;0;0
2.8.2016;4:00;0;0;0
2.8.2016;5:00;2;1;1
2.8.2016;6:00;5;1;4
2.8.2016;7:00;14;5;9
2.8.2016;8:00;23;11;12
2.8.2016;9:00;31;23;8
2.8.2016;10:00;81;50;31
2.8.2016;11:00;77;45;32
2.8.2016;12:00;61;42;19
2.8.2016;13:00;66;49;17
2.8.2016;14:00;76;47;29
2.8.2016;15:00;75;42;33
2.8.2016;16:00;95;43;52
2.8.2016;17:00;124;62;62
2.8.2016;18:00;178;94;84
2.8.2016;19:00;187;129;58
2.8.2016;20:00;62;52;10
2.8.2016;21:00;12;12;0
2.8.2016;22:00;2;1;1
2.8.2016;23:00;6;6;0
3.8.2016;0:00;0;0;0
3.8.2016;1:00;0;0;0
3.8.2016;2:00;0;0;0
3.8.2016;3:00;0;0;0
3.8.2016;4:00;0;0;0
3.8.2016;5:00;2;1;1
3.8.2016;6:00;5;1;4
3.8.2016;7:00;9;4;5
3.8.2016;8:00;16;9;7
3.8.2016;9:00;20;14;6
3.8.2016;10:00;50;33;17
3.8.2016;11:00;48;18;30
3.8.2016;12:00;49;31;18
3.8.2016;13:00;47;28;19
3.8.2016;14:00;56;22;34
3.8.2016;15:00;61;33;28
3.8.2016;16:00;94;49;45
3.8.2016;17:00;118;45;73
3.8.2016;18:00;141;61;80
3.8.2016;19:00;132;85;47
3.8.2016;20:00;32;29;3
3.8.2016;21:00;12;9;3
3.8.2016;22:00;0;0;0
3.8.2016;23:00;0;0;0
4.8.2016;0:00;0;0;0
4.8.2016;1:00;0;0;0
4.8.2016;2:00;0;0;0
4.8.2016;3:00;0;0;0
4.8.2016;4:00;0;0;0
4.8.2016;5:00;2;1;1
4.8.2016;6:00;3;1;2
4.8.2016;7:00;13;3;10
4.8.2016;8:00;20;8;12
4.8.2016;9:00;31;8;23
4.8.2016;10:00;42;13;29
4.8.2016;11:00;60;28;32
4.8.2016;12:00;44;24;20
4.8.2016;13:00;38;19;19
4.8.2016;14:00;62;31;31
4.8.2016;15:00;43;27;16
4.8.2016;16:00;64;34;30
4.8.2016;17:00;74;39;35
4.8.2016;18:00;82;37;45
4.8.2016;19:00;83;44;39
4.8.2016;20:00;51;37;14
4.8.2016;21:00;6;6;0
4.8.2016;22:00;2;0;2
4.8.2016;23:00;0;0;0
5.8.2016;0:00;0;0;0
5.8.2016;1:00;0;0;0
5.8.2016;2:00;1;1;0
5.8.2016;3:00;0;0;0
5.8.2016;4:00;0;0;0
5.8.2016;5:00;1;1;0
5.8.2016;6:00;5;0;5
5.8.2016;7:00;20;10;10
5.8.2016;8:00;13;7;6
5.8.2016;9:00;32;8;24
5.8.2016;10:00;47;24;23
5.8.2016;11:00;43;24;19
5.8.2016;12:00;34;19;15
5.8.2016;13:00;41;24;17
5.8.2016;14:00;74;43;31
5.8.2016;15:00;50;35;15
5.8.2016;16:00;84;55;29
5.8.2016;17:00;33;28;5
5.8.2016;18:00;19;15;4
5.8.2016;19:00;4;3;1
5.8.2016;20:00;0;0;0
5.8.2016;21:00;0;0;0
5.8.2016;22:00;0;0;0
5.8.2016;23:00;0;0;0
6.8.2016;0:00;0;0;0
6.8.2016;1:00;0;0;0
6.8.2016;2:00;1;0;1
6.8.2016;3:00;0;0;0
6.8.2016;4:00;0;0;0
6.8.2016;5:00;0;0;0
6.8.2016;6:00;0;0;0
6.8.2016;7:00;9;1;8
6.8.2016;8:00;16;3;13
6.8.2016;9:00;21;3;18
6.8.2016;10:00;88;25;63
6.8.2016;11:00;97;28;69
6.8.2016;12:00;75;36;39
6.8.2016;13:00;92;57;35
6.8.2016;14:00;99;40;59
6.8.2016;15:00;116;59;57
6.8.2016;16:00;153;103;50
6.8.2016;17:00;132;97;35
6.8.2016;18:00;103;76;27
6.8.2016;19:00;66;56;10
6.8.2016;20:00;30;24;6
6.8.2016;21:00;4;2;2
6.8.2016;22:00;0;0;0
6.8.2016;23:00;0;0;0
7.8.2016;0:00;0;0;0
7.8.2016;1:00;0;0;0
7.8.2016;2:00;0;0;0
7.8.2016;3:00;0;0;0
7.8.2016;4:00;0;0;0
7.8.2016;5:00;1;1;0
7.8.2016;6:00;4;0;4
7.8.2016;7:00;13;1;12
7.8.2016;8:00;35;9;26
7.8.2016;9:00;89;36;53
7.8.2016;10:00;121;45;76
7.8.2016;11:00;144;57;87
7.8.2016;12:00;153;78;75
7.8.2016;13:00;133;69;64
7.8.2016;14:00;214;125;89
