Dátum a èas;Hradza Berg ;Do Slovenska ;Do Rakuska
1.11.2018 0:00;0;0;0
1.11.2018 1:00;0;0;0
1.11.2018 2:00;0;0;0
1.11.2018 3:00;0;0;0
1.11.2018 4:00;0;0;0
1.11.2018 5:00;0;0;0
1.11.2018 6:00;0;0;0
1.11.2018 7:00;1;0;1
1.11.2018 8:00;10;2;8
1.11.2018 9:00;29;4;25
1.11.2018 10:00;42;15;27
1.11.2018 11:00;68;14;54
1.11.2018 12:00;72;29;43
1.11.2018 13:00;57;23;34
1.11.2018 14:00;89;43;46
1.11.2018 15:00;72;45;27
1.11.2018 16:00;57;36;21
1.11.2018 17:00;12;9;3
1.11.2018 18:00;1;1;0
1.11.2018 19:00;2;1;1
1.11.2018 20:00;2;1;1
1.11.2018 21:00;0;0;0
1.11.2018 22:00;0;0;0
1.11.2018 23:00;0;0;0
2.11.2018 0:00;0;0;0
2.11.2018 1:00;0;0;0
2.11.2018 2:00;0;0;0
2.11.2018 3:00;0;0;0
2.11.2018 4:00;0;0;0
2.11.2018 5:00;1;1;0
2.11.2018 6:00;2;1;1
2.11.2018 7:00;3;0;3
2.11.2018 8:00;11;5;6
2.11.2018 9:00;12;6;6
2.11.2018 10:00;20;3;17
2.11.2018 11:00;29;10;19
2.11.2018 12:00;35;18;17
2.11.2018 13:00;52;19;33
2.11.2018 14:00;70;20;50
2.11.2018 15:00;75;35;40
2.11.2018 16:00;67;54;13
2.11.2018 17:00;10;9;1
2.11.2018 18:00;5;3;2
2.11.2018 19:00;2;1;1
2.11.2018 20:00;3;2;1
2.11.2018 21:00;0;0;0
2.11.2018 22:00;0;0;0
2.11.2018 23:00;0;0;0
3.11.2018 0:00;0;0;0
3.11.2018 1:00;0;0;0
3.11.2018 2:00;0;0;0
3.11.2018 3:00;0;0;0
3.11.2018 4:00;1;0;1
3.11.2018 5:00;1;0;1
3.11.2018 6:00;1;0;1
3.11.2018 7:00;3;0;3
3.11.2018 8:00;4;1;3
3.11.2018 9:00;4;1;3
3.11.2018 10:00;36;10;26
3.11.2018 11:00;45;14;31
3.11.2018 12:00;58;24;34
3.11.2018 13:00;63;25;38
3.11.2018 14:00;70;36;34
3.11.2018 15:00;63;40;23
3.11.2018 16:00;26;19;7
3.11.2018 17:00;15;15;0
3.11.2018 18:00;5;5;0
3.11.2018 19:00;0;0;0
3.11.2018 20:00;0;0;0
3.11.2018 21:00;0;0;0
3.11.2018 22:00;1;1;0
3.11.2018 23:00;1;1;0
4.11.2018 0:00;0;0;0
4.11.2018 1:00;0;0;0
4.11.2018 2:00;0;0;0
4.11.2018 3:00;0;0;0
4.11.2018 4:00;0;0;0
4.11.2018 5:00;0;0;0
4.11.2018 6:00;1;0;1
4.11.2018 7:00;0;0;0
4.11.2018 8:00;11;1;10
4.11.2018 9:00;24;9;15
4.11.2018 10:00;53;6;47
4.11.2018 11:00;52;13;39
4.11.2018 12:00;60;30;30
4.11.2018 13:00;59;22;37
4.11.2018 14:00;92;48;44
4.11.2018 15:00;78;41;37
4.11.2018 16:00;51;39;12
4.11.2018 17:00;13;9;4
4.11.2018 18:00;4;2;2
4.11.2018 19:00;2;2;0
4.11.2018 20:00;0;0;0
4.11.2018 21:00;0;0;0
4.11.2018 22:00;0;0;0
4.11.2018 23:00;0;0;0
5.11.2018 0:00;0;0;0
5.11.2018 1:00;0;0;0
5.11.2018 2:00;0;0;0
5.11.2018 3:00;0;0;0
5.11.2018 4:00;0;0;0
5.11.2018 5:00;1;1;0
5.11.2018 6:00;0;0;0
5.11.2018 7:00;10;9;1
5.11.2018 8:00;5;3;2
5.11.2018 9:00;4;0;4
5.11.2018 10:00;14;3;11
5.11.2018 11:00;14;5;9
5.11.2018 12:00;14;6;8
5.11.2018 13:00;19;9;10
5.11.2018 14:00;20;6;14
5.11.2018 15:00;22;10;12
5.11.2018 16:00;16;8;8
5.11.2018 17:00;6;4;2
