Dátum a èas;Hradza Berg ;Do Slovenska ;Do Rakuska
1.3.2018 0:00;0;0;0
1.3.2018 1:00;0;0;0
1.3.2018 2:00;0;0;0
1.3.2018 3:00;0;0;0
1.3.2018 4:00;0;0;0
1.3.2018 5:00;0;0;0
1.3.2018 6:00;0;0;0
1.3.2018 7:00;0;0;0
1.3.2018 8:00;0;0;0
1.3.2018 9:00;2;0;2
1.3.2018 10:00;0;0;0
1.3.2018 11:00;1;1;0
1.3.2018 12:00;0;0;0
1.3.2018 13:00;0;0;0
1.3.2018 14:00;1;0;1
1.3.2018 15:00;5;2;3
1.3.2018 16:00;1;1;0
1.3.2018 17:00;4;3;1
1.3.2018 18:00;2;1;1
1.3.2018 19:00;0;0;0
1.3.2018 20:00;0;0;0
1.3.2018 21:00;0;0;0
1.3.2018 22:00;0;0;0
1.3.2018 23:00;0;0;0
2.3.2018 0:00;0;0;0
2.3.2018 1:00;0;0;0
2.3.2018 2:00;0;0;0
2.3.2018 3:00;0;0;0
2.3.2018 4:00;0;0;0
2.3.2018 5:00;0;0;0
2.3.2018 6:00;0;0;0
2.3.2018 7:00;0;0;0
2.3.2018 8:00;0;0;0
2.3.2018 9:00;0;0;0
2.3.2018 10:00;1;0;1
2.3.2018 11:00;0;0;0
2.3.2018 12:00;0;0;0
2.3.2018 13:00;2;0;2
2.3.2018 14:00;0;0;0
2.3.2018 15:00;0;0;0
2.3.2018 16:00;1;1;0
2.3.2018 17:00;0;0;0
2.3.2018 18:00;0;0;0
2.3.2018 19:00;2;0;2
2.3.2018 20:00;0;0;0
2.3.2018 21:00;0;0;0
2.3.2018 22:00;0;0;0
2.3.2018 23:00;0;0;0
3.3.2018 0:00;0;0;0
3.3.2018 1:00;0;0;0
3.3.2018 2:00;0;0;0
3.3.2018 3:00;0;0;0
3.3.2018 4:00;0;0;0
3.3.2018 5:00;0;0;0
3.3.2018 6:00;0;0;0
3.3.2018 7:00;0;0;0
3.3.2018 8:00;0;0;0
3.3.2018 9:00;1;0;1
3.3.2018 10:00;1;1;0
3.3.2018 11:00;3;0;3
3.3.2018 12:00;2;1;1
3.3.2018 13:00;1;1;0
3.3.2018 14:00;2;1;1
3.3.2018 15:00;3;1;2
3.3.2018 16:00;0;0;0
3.3.2018 17:00;3;1;2
3.3.2018 18:00;0;0;0
3.3.2018 19:00;0;0;0
3.3.2018 20:00;0;0;0
3.3.2018 21:00;1;0;1
3.3.2018 22:00;0;0;0
3.3.2018 23:00;0;0;0
4.3.2018 0:00;0;0;0
4.3.2018 1:00;0;0;0
4.3.2018 2:00;0;0;0
4.3.2018 3:00;0;0;0
4.3.2018 4:00;0;0;0
4.3.2018 5:00;0;0;0
4.3.2018 6:00;0;0;0
4.3.2018 7:00;1;0;1
4.3.2018 8:00;1;1;0
4.3.2018 9:00;1;0;1
4.3.2018 10:00;7;2;5
4.3.2018 11:00;9;3;6
4.3.2018 12:00;8;2;6
4.3.2018 13:00;10;5;5
4.3.2018 14:00;15;4;11
4.3.2018 15:00;12;6;6
4.3.2018 16:00;4;4;0
4.3.2018 17:00;0;0;0
4.3.2018 18:00;6;1;5
4.3.2018 19:00;0;0;0
4.3.2018 20:00;0;0;0
4.3.2018 21:00;0;0;0
4.3.2018 22:00;0;0;0
4.3.2018 23:00;0;0;0
5.3.2018 0:00;0;0;0
5.3.2018 1:00;0;0;0
5.3.2018 2:00;0;0;0
5.3.2018 3:00;0;0;0
5.3.2018 4:00;0;0;0
5.3.2018 5:00;0;0;0
5.3.2018 6:00;0;0;0
5.3.2018 7:00;0;0;0
5.3.2018 8:00;0;0;0
5.3.2018 9:00;2;0;2
5.3.2018 10:00;0;0;0
5.3.2018 11:00;0;0;0
5.3.2018 12:00;1;1;0
5.3.2018 13:00;3;1;2
5.3.2018 14:00;2;0;2
5.3.2018 15:00;3;1;2
5.3.2018 16:00;2;1;1
5.3.2018 17:00;4;2;2
5.3.2018 18:00;0;0;0
5.3.2018 19:00;2;1;1
5.3.2018 20:00;0;0;0
5.3.2018 21:00;0;0;0
5.3.2018 22:00;0;0;0
5.3.2018 23:00;0;0;0
6.3.2018 0:00;0;0;0
6.3.2018 1:00;0;0;0
6.3.2018 2:00;0;0;0
6.3.2018 3:00;0;0;0
6.3.2018 4:00;0;0;0
6.3.2018 5:00;0;0;0
6.3.2018 6:00;0;0;0
6.3.2018 7:00;0;0;0
6.3.2018 8:00;1;1;0
6.3.2018 9:00;3;1;2
6.3.2018 10:00;0;0;0
6.3.2018 11:00;0;0;0
6.3.2018 12:00;0;0;0
6.3.2018 13:00;0;0;0
6.3.2018 14:00;1;1;0
6.3.2018 15:00;0;0;0
6.3.2018 16:00;2;0;2
6.3.2018 17:00;2;2;0
6.3.2018 18:00;2;1;1
6.3.2018 19:00;1;1;0
6.3.2018 20:00;0;0;0
6.3.2018 21:00;0;0;0
6.3.2018 22:00;0;0;0
6.3.2018 23:00;0;0;0
7.3.2018 0:00;0;0;0
7.3.2018 1:00;0;0;0
7.3.2018 2:00;0;0;0
7.3.2018 3:00;0;0;0
7.3.2018 4:00;0;0;0
7.3.2018 5:00;0;0;0
7.3.2018 6:00;0;0;0
7.3.2018 7:00;0;0;0
7.3.2018 8:00;1;1;0
7.3.2018 9:00;0;0;0
7.3.2018 10:00;3;1;2
7.3.2018 11:00;0;0;0
7.3.2018 12:00;1;0;1
7.3.2018 13:00;6;4;2
7.3.2018 14:00;9;4;5
7.3.2018 15:00;12;6;6
7.3.2018 16:00;15;4;11
7.3.2018 17:00;15;8;7
7.3.2018 18:00;2;1;1
7.3.2018 19:00;0;0;0
7.3.2018 20:00;0;0;0
7.3.2018 21:00;1;1;0
7.3.2018 22:00;0;0;0
7.3.2018 23:00;0;0;0
8.3.2018 0:00;0;0;0
8.3.2018 1:00;0;0;0
8.3.2018 2:00;0;0;0
8.3.2018 3:00;0;0;0
8.3.2018 4:00;0;0;0
8.3.2018 5:00;0;0;0
8.3.2018 6:00;0;0;0
8.3.2018 7:00;0;0;0
8.3.2018 8:00;5;3;2
8.3.2018 9:00;0;0;0
8.3.2018 10:00;3;1;2
8.3.2018 11:00;5;1;4
8.3.2018 12:00;7;2;5
8.3.2018 13:00;12;7;5
8.3.2018 14:00;11;6;5
8.3.2018 15:00;19;7;12
8.3.2018 16:00;30;13;17
8.3.2018 17:00;22;16;6
8.3.2018 18:00;5;3;2
8.3.2018 19:00;2;2;0
8.3.2018 20:00;0;0;0
8.3.2018 21:00;0;0;0
8.3.2018 22:00;0;0;0
8.3.2018 23:00;0;0;0
9.3.2018 0:00;0;0;0
9.3.2018 1:00;0;0;0
9.3.2018 2:00;0;0;0
9.3.2018 3:00;0;0;0
9.3.2018 4:00;0;0;0
9.3.2018 5:00;2;2;0
9.3.2018 6:00;0;0;0
9.3.2018 7:00;4;3;1
9.3.2018 8:00;1;0;1
9.3.2018 9:00;6;3;3
9.3.2018 10:00;4;2;2
9.3.2018 11:00;5;3;2
9.3.2018 12:00;4;0;4
9.3.2018 13:00;8;3;5
9.3.2018 14:00;12;7;5
9.3.2018 15:00;19;10;9
9.3.2018 16:00;6;3;3
9.3.2018 17:00;8;7;1
9.3.2018 18:00;3;0;3
9.3.2018 19:00;0;0;0
9.3.2018 20:00;0;0;0
9.3.2018 21:00;0;0;0
9.3.2018 22:00;0;0;0
9.3.2018 23:00;0;0;0
10.3.2018 0:00;0;0;0
10.3.2018 1:00;0;0;0
10.3.2018 2:00;0;0;0
10.3.2018 3:00;0;0;0
10.3.2018 4:00;0;0;0
10.3.2018 5:00;0;0;0
10.3.2018 6:00;0;0;0
10.3.2018 7:00;1;0;1
10.3.2018 8:00;1;0;1
10.3.2018 9:00;14;3;11
10.3.2018 10:00;26;4;22
10.3.2018 11:00;75;23;52
10.3.2018 12:00;90;36;54
10.3.2018 13:00;89;33;56
10.3.2018 14:00;93;51;42
10.3.2018 15:00;108;69;39
10.3.2018 16:00;62;48;14
10.3.2018 17:00;36;30;6
10.3.2018 18:00;8;5;3
10.3.2018 19:00;1;0;1
10.3.2018 20:00;0;0;0
10.3.2018 21:00;0;0;0
10.3.2018 22:00;0;0;0
10.3.2018 23:00;0;0;0
11.3.2018 0:00;0;0;0
