date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2017-01-01,-6.5,-9.8,-4.8,,,,8,,1023,
2017-01-02,,,,,,,,,,
2017-01-03,,,,,,,,,,
2017-01-04,3.2,0.8,4.8,,,260,33,,1007.3,
2017-01-05,,,,,,,,,,
2017-01-06,-7.8,-11.2,-6.2,,,329,25,,1032,
2017-01-07,-10.4,-13.2,-8.2,,,,16,,1032,
2017-01-08,-8.5,-11.2,-4.2,,,248,10,,1026.6,
2017-01-09,-5.4,-8.2,-2.2,,,241,16,,1024.6,
2017-01-10,-9.3,-13.2,-6.2,,,95,12,,1021.8,
2017-01-11,-9.2,-14.2,-3.2,,,138,8,,1017.9,
2017-01-12,-5.6,-9.2,-3.2,,,,8,,1011.3,
2017-01-13,2.4,-3.2,5.8,,,243,16,,999.5,
2017-01-14,,,,,,,,,,
2017-01-15,,,,,,,,,,
2017-01-16,-5.7,-10.2,-3.2,,,,5,,1021.5,
2017-01-17,,,,,,,,,,
2017-01-18,-4.5,-10.2,-1.2,,,330,8,,1034.3,
2017-01-19,-8.1,-12.2,-3.2,,,,5,,1036.8,
2017-01-20,-9.7,-14.2,-4.2,,,,6,,1036,
2017-01-21,-8.1,-12.2,-3.2,,,69,7,,1034,
2017-01-22,-7.7,-11.2,-2.2,,,51,11,,1033.3,
2017-01-23,-6.1,-9.2,-4.2,,,129,13,,1027.9,
2017-01-24,-5.1,-6.2,-4.2,,,,16,,1026,
2017-01-25,-4.5,-8.2,-3.2,,,,7,,1029.8,
2017-01-26,,,,,,,,,,
2017-01-27,-4.3,-4.8,-2.8,,,132,29,,1027.6,
2017-01-28,-6.3,-7.2,-5.2,,,81,16,,1026.9,
2017-01-29,-6.6,-7.2,-6.2,,,,9,,1028,
2017-01-30,-7.1,-8.2,-6.2,,,103,14,,1025.7,
2017-01-31,-4.4,-5.2,-2.2,,,89,15,,1021.5,
2017-02-01,-2.6,-4.8,-0.8,,,,5,,1020.9,
2017-02-02,-1.1,-1.8,-0.8,,,,7,,1017.6,
2017-02-03,,,,,,,,,,
2017-02-04,1.4,0.8,2.8,,,165,14,,1007,
2017-02-05,4.7,2.8,10.8,,,181,13,,1006,
2017-02-06,3.5,1.8,5.8,,,178,14,,1011.2,
2017-02-07,,,,,,,,,,
2017-02-08,-2,-3.2,-1.2,,,312,13,,1023.2,
2017-02-09,,,,,,,,,,
2017-02-10,,,,,,,,,,
2017-02-11,,,,,,,,,,
2017-02-12,,,,,,,,,,
2017-02-13,,,,,,,,,,
2017-02-14,,,,,,,,,,
2017-02-15,,,,,,,,,,
2017-02-16,-2.4,-3.2,-1.2,,,48,8,,1033.1,
2017-02-17,,,,,,,,,,
2017-02-18,4.6,2.8,5.8,,,295,14,,1024.3,
2017-02-19,,,,,,,,,,
2017-02-20,,,,,,,,,,
2017-02-21,7.5,2.8,10.8,,,278,16,,1012.3,
2017-02-22,8.7,3.8,12.8,,,225,18,,1011,
2017-02-23,11.5,5.8,13.8,,,,21,,1004.4,
2017-02-24,8.9,4.2,14.2,,,289,31,,1007.2,
2017-02-25,,,,,,,,,,
2017-02-26,,,,,,,,,,
2017-02-27,,,,,,,,,,
2017-02-28,8.1,3.8,12.8,,,172,18,,1001.3,
2017-03-01,,,,,,,,,,
2017-03-02,,,,,,,,,,
2017-03-03,8.6,2.8,13.8,,,189,16,,1016.9,
2017-03-04,10.6,2.8,17.8,,,124,21,,1005,
2017-03-05,10.4,5.8,14.8,,,170,14,,1005.3,
2017-03-06,7.3,1.8,11.8,,,228,16,,1003.8,
2017-03-07,5.9,0.8,10.8,,,,13,,1009.8,
2017-03-08,6.7,1.8,11.8,,,293,16,,1021.6,
2017-03-09,6.9,0.8,13.8,,,,6,,1017.8,
2017-03-10,7.2,4.8,8.8,,,312,26,,1017.3,
2017-03-11,6.5,3.8,9.8,,,310,22,,1021.8,
2017-03-12,5.9,2.8,8.8,,,313,15,,1018.5,
2017-03-13,,,,,,,,,,
2017-03-14,7,1.8,11.8,,,307,13,,1027.8,
2017-03-15,9.5,5.2,12.2,,,306,17,,1027.2,
2017-03-16,9.9,3.8,15.8,,,305,17,,1022.6,
2017-03-17,,,,,,,,,,
2017-03-18,9.6,6.8,11.8,,,,33,,1005.5,
2017-03-19,7.6,5.8,8.8,,,260,14,,1009.6,
2017-03-20,12.3,5.8,16.8,,,,13,,1010.2,
2017-03-21,11.6,4.8,17.8,,,,12,,1010.3,
2017-03-22,10.9,6.8,14.8,,,206,11,,1012.1,
2017-03-23,10.1,2.8,16.8,,,,8,,1016,
2017-03-24,9.5,5.8,13.8,,,297,18,,1023.5,
2017-03-25,8.8,3.8,14.8,,,277,10,,1024.5,
2017-03-26,,,,,,,,,,
2017-03-27,,,,,,,,,,
2017-03-28,,,,,,,,,,
2017-03-29,,,,,,,,,,
2017-03-30,,,,,,,,,,
2017-03-31,13,4.8,20.8,,,135,13,,1022.5,
2017-04-01,,,,,,,,,,
2017-04-02,15.2,6.8,22.8,,,73,11,,1016.1,
2017-04-03,,,,,,,,,,
2017-04-04,,,,,,,,,,
2017-04-05,,,,,,,,,,
2017-04-06,9.7,7.8,11.8,,,319,29,,1017,
2017-04-07,7.8,6.2,9.2,,,295,27,,1018.4,
2017-04-08,11.9,8.8,14.8,,,311,19,,1020.9,
2017-04-09,12.5,6.8,16.8,,,,5,,1025.4,
2017-04-10,12.8,4.8,21.8,,,,8,,1019.4,
2017-04-11,11.6,6.8,16.8,,,,23,,1018.3,
2017-04-12,10.5,3.8,15.8,,,,11,,1018.9,
2017-04-13,10.5,8.8,11.8,,,,10,,1011.4,
2017-04-14,11.5,7.8,15.8,,,,12,,1014.5,
2017-04-15,10.3,3.8,15.8,,,,7,,1014.2,
2017-04-16,10.5,7.8,12.8,,,295,19,,1014.2,
2017-04-17,8.4,5.8,11.8,,,278,14,,1014.8,
