date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-01-01,4.1,1.2,9.2,,,,10,,1009,
2018-01-02,4.3,1.8,7.8,,,,,,1010.1,
2018-01-03,,,,,,,,,,
2018-01-04,7.6,4.8,9.8,,,226,19,,1003.4,
2018-01-05,4.3,2.8,5.8,,,,8,,1005,
2018-01-06,6.4,4.8,8.8,,,41,13,,1009.8,
2018-01-07,6.4,3.8,7.8,,,,7,,1019.8,
2018-01-08,5.7,5.2,6.2,,,,8,,1026,
2018-01-09,6.3,3.8,7.8,,,75,15,,1025.7,
2018-01-10,4.2,3.8,5.8,,,137,12,,1016.2,
2018-01-11,4.2,2.8,5.8,,,,8,,1015.3,
2018-01-12,4.4,3.8,5.8,,,244,12,,1022.3,
2018-01-13,2.2,0.8,3.8,,,44,12,,1026.7,
2018-01-14,,,,,,,,,,
2018-01-15,,,,,,,,,,
2018-01-16,-2.2,-3.2,-1.2,,,,21,,1006,
2018-01-17,3.5,1.2,6.2,,,,24,,999.4,
2018-01-18,3.4,0.8,5.8,,,232,22,,1006.3,
2018-01-19,4.4,2.2,7.2,,,,21,,1007.8,
2018-01-20,,,,,,,,,,
2018-01-21,,,,,,,,,,
2018-01-22,,,,,,,,,,
2018-01-23,,,,,,,,,,
2018-01-24,3.1,1.2,5.2,,,133,16,,1027.1,
2018-01-25,,,,,,,,,,
2018-01-26,,,,,,,,,,
2018-01-27,2.5,0.8,3.8,,,332,11,,1029.7,
2018-01-28,6.4,1.2,11.2,,,,19,,1031.8,
2018-01-29,8.9,3.8,14.8,,,277,16,,1026,
2018-01-30,7.5,1.8,10.8,,,296,24,,1025,
2018-01-31,,,,,,,,,,
2018-02-01,3.7,1.2,7.2,,,,11,,1004.3,
2018-02-02,3.7,1.8,5.8,,,288,9,,1007.5,
2018-02-03,2.3,0.8,3.8,,,,12,,1004.6,
2018-02-04,,,,,,,,,,
2018-02-05,,,,,,,,,,
2018-02-06,,,,,,,,,,
2018-02-07,,,,,,,,,,
2018-02-08,,,,,,,,,,
2018-02-09,,,,,,,,,,
2018-02-10,,,,,,,,,,
2018-02-11,,,,,,,,,,
2018-02-12,3.4,1.2,5.2,,,272,14,,1011.6,
2018-02-13,,,,,,,,,,
2018-02-14,,,,,,,,,,
2018-02-15,,,,,,,,,,
2018-02-16,,,,,,,,,,
2018-02-17,,,,,,,,,,
2018-02-18,,,,,,,,,,
2018-02-19,,,,,,,,,,
2018-02-20,,,,,,,,,,
2018-02-21,,,,,,,,,,
2018-02-22,,,,,,,,,,
2018-02-23,,,,,,,,,,
2018-02-24,-4.2,-6.8,-1.8,,,285,24,,1021.6,
2018-02-25,-7.2,-10.2,-3.2,,,265,14,,1023.8,
2018-02-26,-8,-12.2,-3.2,,,233,14,,1019.2,
2018-02-27,-8.7,-10.2,-6.2,,,314,17,,1014.2,
2018-02-28,-8.8,-12.2,-4.2,,,,13,,1019.3,
2018-03-01,-8.5,-13.2,-4.2,,,125,20,,1016.7,
2018-03-02,-5.6,-6.2,-4.2,,,127,19,,1002.9,
2018-03-03,-3.6,-5.8,-1.8,,,,12,,1001.7,
2018-03-04,,,,,,,,,,
2018-03-05,,,,,,,,,,
2018-03-06,,,,,,,,,,
2018-03-07,,,,,,,,,,
2018-03-08,6.1,0.8,11.8,,,260,13,,1007.3,
2018-03-09,,,,,,,,,,
2018-03-10,7.1,2.8,12.8,,,,10,,1009.7,
2018-03-11,9.4,2.8,14.8,,,94,19,,1005.2,
2018-03-12,11.6,8.8,16.8,,,208,16,,998.1,
2018-03-13,10.3,6.8,14.8,,,253,16,,1004.3,
